circuit_id,circuit_url,circuit_name,circuit_country,circuit_locality,circuit_lat,circuit_lon,circuit_alt
albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,3.436760902404785
americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,USA,Austin,30.1328,-97.6411,154.3583984375
bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,7.479920864105225
baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,-25.24994087219238
catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111,120.0
hungaroring,http://en.wikipedia.org/wiki/Hungaroring,Hungaroring,Hungary,Budapest,47.5789,19.2486,236.4782257080078
interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997,778.1732788085938
jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044,2.78902006149292
losail,http://en.wikipedia.org/wiki/Losail_International_Circuit,Losail International Circuit,Qatar,Al Daayen,25.49,51.4542,12.24999809265137
marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,3.806749820709229
miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,USA,Miami,25.9581,-80.2389,2.596298217773438
monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,6.631940841674805
monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,181.8772277832031
red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,679.3597412109375
rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,Mexico,Mexico City,19.4042,-99.0907,2229.83984375
silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,152.3437042236328
spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,397.8139343261719
suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,33.18936157226562
vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Street Circuit,United States,Las Vegas,36.1147,-115.173,641.701416015625
villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,11.42041873931885
yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,4.925852298736572
zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092,4.87763786315918
