circuit_id,circuit_url,circuit_name,circuit_country,circuit_locality,circuit_lat,circuit_lon,circuit_alt
adelaide,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Adelaide Street Circuit,Australia,Adelaide,-34.9272,138.617,41.16469573974609
ain-diab,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,Ain Diab,Morocco,Casablanca,33.5786,-7.6875,15.46545124053955
aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,UK,Liverpool,53.4769,-2.94056,17.87309646606445
albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,3.436760902404785
americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,USA,Austin,30.1328,-97.6411,154.3583984375
anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway,Scandinavian Raceway,Sweden,Anderstorp,57.2653,13.6042,153.7144317626953
avus,http://en.wikipedia.org/wiki/AVUS,AVUS,Germany,Berlin,52.4806,13.2514,50.2078971862793
bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,7.479920864105225
baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,-25.24994087219238
boavista,http://en.wikipedia.org/wiki/Circuito_da_Boavista,Circuito da Boavista,Portugal,Oporto,41.1705,-8.67325,32.95462799072266
brands_hatch,http://en.wikipedia.org/wiki/Brands_Hatch,Brands Hatch,UK,Kent,51.3569,0.263056,144.2704010009766
bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194,584.1712646484375
buddh,http://en.wikipedia.org/wiki/Buddh_International_Circuit,Buddh International Circuit,India,Uttar Pradesh,28.3487,77.5331,192.6841278076172
catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111,120.0
charade,http://en.wikipedia.org/wiki/Charade_Circuit,Charade Circuit,France,Clermont-Ferrand,45.7472,3.03889,875.1644287109375
dallas,http://en.wikipedia.org/wiki/Fair_Park,Fair Park,USA,Dallas,32.7774,-96.7587,138.9471435546875
detroit,http://en.wikipedia.org/wiki/Detroit_street_circuit,Detroit Street Circuit,USA,Detroit,42.3298,-83.0401,183.13720703125
dijon,http://en.wikipedia.org/wiki/Dijon-Prenois,Dijon-Prenois,France,Dijon,47.3625,4.89913,480.8601989746094
donington,http://en.wikipedia.org/wiki/Donington_Park,Donington Park,UK,Castle Donington,52.8306,-1.37528,85.9664535522461
essarts,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,France,Rouen,49.3306,1.00458,100.3166046142578
estoril,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,Autódromo do Estoril,Portugal,Estoril,38.7506,-9.39417,129.8192443847656
fuji,http://en.wikipedia.org/wiki/Fuji_Speedway,Fuji Speedway,Japan,Oyama,35.3717,138.927,584.0648803710938
