year,constructor_id,race_points_won
1950,adams,0
1950,alfa,270
1950,alta,2
1950,cooper,0
1950,deidt,33
1950,era,24
1950,ewing,0
1950,ferrari,109
1950,kurtis_kraft,64
1950,lago,144
1950,langley,0
1950,lesovsky,4
1950,marchese,0
1950,maserati,82
1950,milano,0
1950,moore,8
1950,nichels,2
1950,olson,0
1950,rae,0
1950,simca,12
1950,snowberger,0
1950,stevens,0
1950,watson,0
1950,wetteroth,0
1951,alfa,295
1951,alta,0
1951,brm,16
1951,bromme,0
1951,deidt,6
1951,era,4
1951,ferrari,329
1951,hall,0
1951,hwm,4
1951,kurtis_kraft,80
1951,kuzma,0
1951,lago,92
1951,lesovsky,0
1951,marchese,0
1951,maserati,7
1951,moore,8
1951,osca,2
1951,pawl,0
1951,schroeder,10
1951,sherman,12
1951,simca,16
1951,trevis,0
1951,veritas,0
1951,watson,0
1952,afm,2
1952,alta,0
1952,bmw,0
1952,bromme,0
1952,butterworth,0
1952,cisitalia,0
1952,connaught,24
1952,cooper,71
1952,deidt,0
1952,era,0
1952,ferrari,417
1952,frazer_nash,13
1952,gordini,80
1952,hwm,32
1952,kurtis_kraft,64
1952,kuzma,25
1952,lesovsky,12
1952,maserati,48
1952,osca,0
1952,sherman,0
1952,simca,13
1952,stevens,0
1952,trevis,0
1952,veritas,10
1952,watson,0
1953,afm,0
1953,bmw,0
1953,bromme,0
1953,connaught,8
1953,cooper,26
1953,del_roy,0
1953,emw,0
1953,ferrari,456
1953,gordini,68
1953,hwm,7
1953,kurtis_kraft,128
1953,kuzma,6
1953,lesovsky,0
1953,maserati,283
1953,osca,1
1953,schroeder,0
1953,simca,0
1953,stevens,4
1953,turner,0
1953,veritas,2
1953,watson,0
1954,bromme,0
1954,connaught,0
1954,cooper,1
1954,ferrari,344
1954,gordini,49
1954,hwm,0
1954,klenk,0
1954,kurtis_kraft,92
1954,kuzma,18
1954,lancia,0
1954,maserati,251
1954,mercedes,202
1954,nichels,0
1954,pankratz,0
1954,pawl,0
1954,phillips,6
1954,schroeder,0
1954,stevens,1
1954,vanwall,6
1955,arzani-volpini,0
1955,connaught,0
1955,cooper,0
1955,epperly,0
1955,ferrari,240
1955,gordini,18
1955,hwm,0
1955,kurtis_kraft,117
1955,kuzma,12
1955,lancia,36
1955,maserati,207
1955,mercedes,263
1955,pankratz,0
1955,pawl,0
1955,phillips,0
1955,schroeder,0
1955,stevens,0
1955,trevis,0
1955,vanwall,4
1956,brm,0
1956,bugatti,0
1956,connaught,37
1956,cooper,0
1956,emeryson,0
1956,ferrari,366
1956,gordini,42
1956,kurtis_kraft,50
1956,kuzma,8
1956,lesovsky,2
1956,maserati,397
1956,phillips,15
1956,stevens,1
1956,vanwall,15
1956,watson,25
1957,brm,2
1957,connaught,12
1957,cooper,46
1957,dunn,0
1957,epperly,43
1957,ferrari,246
1957,kurtis_kraft,40
1957,kuzma,15
1957,lesovsky,1
1957,maserati,335
1957,phillips,2
1957,porsche,0
1957,vanwall,155
1957,watson,0
1958,brm,106
1958,caterham,46
1958,connaught,0
1958,cooper,205
1958,dunn,0
1958,epperly,65
1958,ferrari,317
1958,kurtis_kraft,18
1958,kuzma,0
1958,lesovsky,0
1958,maserati,124
1958,osca,0
1958,phillips,6
1958,porsche,8
1958,vanwall,216
1958,watson,12
1959,aston_martin,21
