year,driver_id,race_points_won
1950,ader,0
1950,agabashian,0
1950,ascari,46
1950,banks,0
1950,bettenhausen,10
1950,biondetti,0
1950,bira,22
1950,bonetto,11
1950,branca,1
1950,cabantous,16
1950,cantrell,0
1950,chaboud,10
1950,chiron,17
1950,chitwood,10
1950,claes,11
1950,comotti,0
1950,crossley,2
1950,darter,0
1950,davies,0
1950,dick_rathmann,0
1950,dinsmore,0
1950,etancelin,26
1950,fagioli,87
1950,fangio,75
1950,farina,93
1950,faulkner,6
1950,flaherty,1
1950,fohr,0
1950,fry,1
1950,george_connor,4
1950,gerard,16
1950,gonzalez,1
1950,graffenried,16
1950,green,12
1950,guy_mairesse,0
1950,hampshire,2
1950,hanks,0
1950,harrison,8
1950,hartley,0
1950,hellings,0
1950,holland,18
1950,holmes,0
1950,hoyt,0
1950,jackson,0
1950,kelly,0
1950,leslie_johnson,0
1950,levegh,8
1950,levrett,0
1950,louveau,0
1950,manzon,12
1950,martin,0
1950,mcdowell,0
1950,mcgrath,0
1950,murray,4
1950,pagani,6
1950,parsons,25
1950,paul_russo,2
1950,peter_walker,0
1950,pian,0
1950,pietsch,0
1950,pozzi,8
1950,rathmann,0
1950,reg_parnell,15
1950,rol,0
1950,rolt,0
1950,rose,15
1950,rosier,60
1950,ruttman,0
1950,sanesi,0
1950,schell,4
1950,schindler,0
1950,serafini,18
1950,shawe_taylor,1
1950,sommer,13
1950,taruffi,0
1950,trintignant,0
1950,villoresi,12
1950,wallard,8
1950,walt_brown,0
1950,webb,0
1950,whitehead,21
1951,abecassis,0
1951,agabashian,0
1951,andre_pilette,8
1951,ascari,106
1951,ayulo,15
1951,ball,10
1951,banks,8
1951,bettenhausen,2
1951,bira,0
1951,bonetto,37
1951,branca,0
1951,cabantous,20
1951,chaboud,4
1951,chiron,15
1951,claes,6
1951,darter,4
1951,davies,0
1951,dinsmore,0
1951,duncan_hamilton,0
1951,etancelin,5
1951,fagioli,25
1951,fangio,114
1951,farina,80
1951,faulkner,0
1951,fischer,8
1951,forberg,6
1951,force,0
1951,george_connor,0
1951,gerard,0
1951,godia,1
1951,gonzalez,94
1951,gordini,0
