year,qualy_round,qualy_url,qualy_date,circuit_id,driver_id,constructor_id,qualy_pos,qualy_q1_time,qualy_q2_time,qualy_q3_time
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,senna,williams,1,1:15.962,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,michael_schumacher,benetton,2,1:16.290,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,alesi,ferrari,3,1:17.385,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,damon_hill,williams,4,1:17.554,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,frentzen,sauber,5,1:17.806,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,morbidelli,footwork,6,1:17.866,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,wendlinger,sauber,7,1:17.927,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,hakkinen,mclaren,8,1:18.122,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,verstappen,benetton,9,1:18.183,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,katayama,tyrrell,10,1:18.194,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,fittipaldi,footwork,11,1:18.204,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,blundell,tyrrell,12,1:18.246,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,comas,larrousse,13,1:18.321,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,barrichello,jordan,14,1:18.414,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,martini,minardi,15,1:18.659,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,irvine,jordan,16,1:18.751,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,berger,ferrari,17,1:18.855,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,brundle,mclaren,18,1:18.864,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,panis,ligier,19,1:19.304,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,bernard,ligier,20,1:19.398,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,herbert,team_lotus,21,1:19.483,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,alboreto,minardi,22,1:19.517,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,beretta,larrousse,23,1:19.524,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,lamy,team_lotus,24,1:19.975,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,gachot,pacific,25,1:20.729,,
1994,1,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,1994-03-27,interlagos,brabham,simtek,26,1:21.186,,
